Disease,Medication
Antihypertensives Poisoning,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
West Nile Virus,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Chancroid,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Tension Headache,"Anticonvulsants (Phenytoin, Carbamazepine); Dopamine agonists (Levodopa); Cholinesterase inhibitors (Donepezil); Muscle relaxants (Baclofen)"
Polycystic Ovarian Syndrome,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Poisoning due to Antidepressants,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Lymphedema,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Polycythemia Vera,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Scurvy,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Dengue Fever,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Chronic Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pulmonic Valve Disease,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Intestinal Malabsorption,Proton pump inhibitors (Omeprazole); H2 receptor blockers (Ranitidine); Antispasmodics (Dicyclomine); Probiotics and digestive enzymes
Drug Abuse (Cocaine),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Complex Regional Pain Syndrome,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Lead Poisoning,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Food Allergy,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Ethylene glycol poisoning-3,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Alcohol Use Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pulmonary Congestion,"Bronchodilators (Albuterol, Salmeterol); Corticosteroids (Prednisone, Fluticasone); Antibiotics for bacterial infections; Expectorants and mucolytics"
Intracranial Hemorrhage,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Recurrent salivary stones,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Carpal Tunnel Syndrome,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Fracture of the Shoulder,"NSAIDs (Ibuprofen, Naproxen); Topical analgesics (Capsaicin cream); Muscle relaxants (Cyclobenzaprine); Disease-modifying antirheumatic drugs (DMARDs)"
Coagulation (Bleeding) Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Coronary Atherosclerosis,"ACE inhibitors (Lisinopril, Enalapril); Beta-blockers (Metoprolol, Atenolol); Calcium channel blockers (Amlodipine); Statins (Atorvastatin, Simvastatin)"
Viral Warts,"Antibiotics (Amoxicillin, Azithromycin); Antivirals (Acyclovir, Oseltamivir); Antifungals (Fluconazole, Clotrimazole); Supportive medications for symptoms"
Uterine Fibroids,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Sciatica,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pain after an Operation,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pregnancy-Induced Hypertension,"ACE inhibitors (Lisinopril, Enalapril); Beta-blockers (Metoprolol, Atenolol); Calcium channel blockers (Amlodipine); Statins (Atorvastatin, Simvastatin)"
Scarlet Fever,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Antimicrobial Drugs Poisoning,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Scleroderma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Thyroid Disease,Hormone replacement therapy; Thyroid medications (Levothyroxine); Corticosteroids (Hydrocortisone); Insulin and glucose-regulating drugs
Lateral Epicondylitis (Tennis Elbow),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Spondylosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Emphysema,"Bronchodilators (Albuterol, Salmeterol); Corticosteroids (Prednisone, Fluticasone); Antibiotics for bacterial infections; Expectorants and mucolytics"
Parasitic Infections,"Antibiotics (Amoxicillin, Azithromycin); Antivirals (Acyclovir, Oseltamivir); Antifungals (Fluconazole, Clotrimazole); Supportive medications for symptoms"
Gum Disease,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hepatic Encephalopathy,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Transient ischemic attack,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cat Scratch Disease,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Bulimia Nervosa,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Normal-Tension Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Scabies,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Lupus,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Alcohol Intoxication,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Open-Angle Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Acute Bronchospasm,"Bronchodilators (Albuterol, Salmeterol); Corticosteroids (Prednisone, Fluticasone); Antibiotics for bacterial infections; Expectorants and mucolytics"
Pterygium,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pericarditis,"ACE inhibitors (Lisinopril, Enalapril); Beta-blockers (Metoprolol, Atenolol); Calcium channel blockers (Amlodipine); Statins (Atorvastatin, Simvastatin)"
Rabies,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
"Sedative, Hypnotic, or Anxiolytic Use Disorder",Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Fungal Infection of the Skin,"Antibiotics (Amoxicillin, Azithromycin); Antivirals (Acyclovir, Oseltamivir); Antifungals (Fluconazole, Clotrimazole); Supportive medications for symptoms"
Nose Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Anticonvulsants (Phenytoin, Carbamazepine); Dopamine agonists (Levodopa); Cholinesterase inhibitors (Donepezil); Muscle relaxants (Baclofen)"
Vitreous Hemorrhage,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cholesteatoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Eye alignment disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Ocular Hypertension,"ACE inhibitors (Lisinopril, Enalapril); Beta-blockers (Metoprolol, Atenolol); Calcium channel blockers (Amlodipine); Statins (Atorvastatin, Simvastatin)"
Torticollis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Flat Feet,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hemarthrosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hepatitis due to a Toxin,Proton pump inhibitors (Omeprazole); H2 receptor blockers (Ranitidine); Antispasmodics (Dicyclomine); Probiotics and digestive enzymes
Huntington Disease,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Stress Incontinence,"SSRIs (Sertraline, Fluoxetine); SNRIs (Venlafaxine, Duloxetine); Mood stabilizers (Lithium, Valproate); Antipsychotics (Risperidone, Olanzapine)"
Hypergammaglobulinemia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Induced Abortion,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Obesity,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Esophageal Cancer,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Ependymoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Aplastic Anemia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cold Sore,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Turner syndrome,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Gestational Diabetes,"Metformin for blood sugar control; Insulin (rapid-acting, long-acting); Sulfonylureas (Glipizide, Glyburide); DPP-4 inhibitors (Sitagliptin)"
Dental Caries,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hiatal Hernia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Submandibular stones,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Choledocholithiasis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Achalasia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Conductive Hearing Loss,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Mononucleosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Acute Sinusitis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Gastrointestinal Hemorrhage,Proton pump inhibitors (Omeprazole); H2 receptor blockers (Ranitidine); Antispasmodics (Dicyclomine); Probiotics and digestive enzymes
Neuropathic Pain,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Bladder Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Anorexia Nervosa,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Chronic Kidney Disease,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Dysthymic Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Vesicoureteral Reflux,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Vitamin A Deficiency,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cranial Nerve Palsy,"Anticonvulsants (Phenytoin, Carbamazepine); Dopamine agonists (Levodopa); Cholinesterase inhibitors (Donepezil); Muscle relaxants (Baclofen)"
Varicose Veins,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Temporomandibular Joint Disorder,"NSAIDs (Ibuprofen, Naproxen); Topical analgesics (Capsaicin cream); Muscle relaxants (Cyclobenzaprine); Disease-modifying antirheumatic drugs (DMARDs)"
Other Specified Feeding or Eating Disorder (OSFED),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hyperemesis Gravidarum,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hypertensive Heart Disease,"ACE inhibitors (Lisinopril, Enalapril); Beta-blockers (Metoprolol, Atenolol); Calcium channel blockers (Amlodipine); Statins (Atorvastatin, Simvastatin)"
Parathyroid Adenoma,Hormone replacement therapy; Thyroid medications (Levothyroxine); Corticosteroids (Hydrocortisone); Insulin and glucose-regulating drugs
Dislocation of the Ankle,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cirrhosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Asthma,"Bronchodilators (Albuterol, Salmeterol); Corticosteroids (Prednisone, Fluticasone); Antibiotics for bacterial infections; Expectorants and mucolytics"
Encephalitis,"Anticonvulsants (Phenytoin, Carbamazepine); Dopamine agonists (Levodopa); Cholinesterase inhibitors (Donepezil); Muscle relaxants (Baclofen)"
Pulmonary Fibrosis,"Bronchodilators (Albuterol, Salmeterol); Corticosteroids (Prednisone, Fluticasone); Antibiotics for bacterial infections; Expectorants and mucolytics"
Pituitary Adenoma,Hormone replacement therapy; Thyroid medications (Levothyroxine); Corticosteroids (Hydrocortisone); Insulin and glucose-regulating drugs
Rheumatoid Arthritis,"NSAIDs (Ibuprofen, Naproxen); Topical analgesics (Capsaicin cream); Muscle relaxants (Cyclobenzaprine); Disease-modifying antirheumatic drugs (DMARDs)"
Kidney Stone,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Optic Neuritis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Premature Ventricular Contractions (PVCs),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Priapism,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Attention Deficit Hyperactivity Disorder (ADHD),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Cellulitis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pseudohypoparathyroidism,Hormone replacement therapy; Thyroid medications (Levothyroxine); Corticosteroids (Hydrocortisone); Insulin and glucose-regulating drugs
Exfoliation Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Low-Tension Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hemorrhoids,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Threatened Pregnancy,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Endometriosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Congenital Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Primary Insomnia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Syringomyelia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Congenital rubella,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Leishmaniasis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Opioid Use Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Concussion,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Narcolepsy,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Normal Pressure Hydrocephalus,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Urinary Tract Infection (UTI),"Antibiotics (Amoxicillin, Azithromycin); Antivirals (Acyclovir, Oseltamivir); Antifungals (Fluconazole, Clotrimazole); Supportive medications for symptoms"
Herpangina,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Benign Kidney Cyst,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Dermatitis due to Sun Exposure,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Mucocele,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Amyloidosis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Abdominal Hernia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Complex Regional Pain Syndrome (CRPS),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Otitis Media,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Chronic Otitis Media,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pharyngitis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Juvenile Rheumatoid Arthritis,"NSAIDs (Ibuprofen, Naproxen); Topical analgesics (Capsaicin cream); Muscle relaxants (Cyclobenzaprine); Disease-modifying antirheumatic drugs (DMARDs)"
Stimulant Use Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Tietze Syndrome,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
