Disease,Description
Hepatitis B,"Hepatitis B is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Hepatitis C,"Hepatitis C is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Hepatitis D,"Hepatitis D is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Hepatitis E,"Hepatitis E is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Alcoholic hepatitis,"Alcoholic hepatitis is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Tuberculosis,Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis that primarily affects the lungs but can spread to other organs.
Common Cold,"The common cold is a viral infection of the upper respiratory tract, typically causing runny nose, cough, sore throat, and congestion."
Pneumonia,"Pneumonia is an infection that inflames air sacs in the lungs, which may fill with fluid or pus, causing symptoms like fever, chills, and difficulty breathing."
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Heart attack,"Heart attack is a cardiovascular disorder affecting the heart's structure, function, or blood supply, potentially compromising cardiac output and circulation."
Varicose veins,Varicose veins is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone, slowing down metabolism and affecting multiple body systems."
Hyperthyroidism,Hyperthyroidism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hypoglycemia,Hypoglycemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Osteoarthristis,"Osteoarthristis is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Arthritis,"Arthritis is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
(vertigo) Paroymsal Positional Vertigo,(vertigo) Paroymsal Positional Vertigo is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acne,Acne is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Urinary tract infection,"Urinary tract infection (UTI) is an infection in any part of the urinary system, most commonly affecting the bladder and urethra."
Psoriasis,"Psoriasis is an autoimmune skin condition that causes cells to build up rapidly on the skin surface, forming scales and red patches that are often itchy and painful."
Impetigo,Impetigo is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gestational Cholestasis,"Gestational cholestasis is a liver condition during pregnancy characterized by impaired bile flow, causing severe itching, particularly on hands and feet."
Injury to Internal Organ,"Injury to Internal Organ is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Scabies,"Scabies is a highly contagious skin infestation caused by microscopic mites that burrow into the skin, causing intense itching and rash."
Congenital Glaucoma,Congenital glaucoma is a rare eye condition present at birth where increased pressure in the eye can damage the optic nerve and impair vision.
Avoidant/Restrictive Food Intake Disorder (ARFID),Avoidant/Restrictive Food Intake Disorder (ARFID) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Subdural hemorrhage,Subdural hemorrhage is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Poisoning due to Antidepressants,"Poisoning due to Antidepressants is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Mittelschmerz,Mittelschmerz is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Cornea Infection,"Cornea Infection is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Myopia,Myopia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Abscess of the Lung,"Abscess of the Lung is a respiratory disorder affecting the lungs, airways, or breathing mechanism, potentially impairing gas exchange and oxygenation."
Congenital rubella,"Congenital rubella is a genetic or congenital condition present from birth, often caused by chromosomal abnormalities or inherited gene mutations."
Intertrigo,"Intertrigo is a superficial inflammatory skin condition affecting skin folds, characterized by redness, moisture, and bacterial or fungal overgrowth."
Insect Bites,"Insect bites are puncture wounds or lacerations caused by insects, typically resulting in localized inflammation, itching, and sometimes allergic reactions."
Complex Regional Pain Syndrome,"Complex Regional Pain Syndrome (CRPS) is a chronic pain condition characterized by severe burning pain, swelling, and changes in skin color and temperature."
Anxiety,"Anxiety disorders involve excessive fear or worry that interferes with daily activities, encompassing various conditions like generalized anxiety disorder and panic disorder."
Gastroesophageal Reflux Disease (GERD),Gastroesophageal Reflux Disease (GERD) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Crushing Injury,"Crushing Injury is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Cellulitis,"Cellulitis is a common bacterial skin infection that affects the deeper layers of skin and subcutaneous tissue, causing redness, swelling, and pain."
Anal Fissure,Anal Fissure is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Neuropathic Pain,"Neuropathic Pain is a neurological disorder affecting the central or peripheral nervous system, potentially impairing motor, sensory, or cognitive function."
Food Allergy,"Food Allergy is an allergic condition where the immune system overreacts to normally harmless substances, causing inflammatory responses."
Pulmonary Fibrosis,"Pulmonary Fibrosis is a respiratory disorder affecting the lungs, airways, or breathing mechanism, potentially impairing gas exchange and oxygenation."
Hyperosmotic Hyperketotic State,Hyperosmotic Hyperketotic State is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Overflow Incontinence,Overflow Incontinence is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Abdominal Injury,"Abdominal Injury is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Hirsutism,Hirsutism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Neuralgia,Neuralgia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Warthin tumor,Warthin tumor is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Presbycusis,Presbycusis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Opioid Use Disorder,Opioid Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Panic disorder,Panic disorder is characterized by sudden episodes of intense fear (panic attacks) accompanied by physical symptoms like rapid heartbeat and sweating.
Esophageal Cancer,Esophageal Cancer is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Alcohol Intoxication,"Alcohol Intoxication is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Pilonidal Cyst,"Pilonidal cyst is a fluid-filled sac that develops at the top of the tailbone, often containing hair and skin debris, prone to infection."
Gestational Diabetes,Gestational diabetes is high blood sugar that develops during pregnancy in women who didn't previously have diabetes.
Drug Withdrawal,Drug Withdrawal is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Fetal Alcohol Syndrome,Fetal Alcohol Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Polycythemia Vera,Polycythemia Vera is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, occurring when cartilage that cushions joints breaks down over time, causing pain and stiffness."
Fracture of the Neck,"Fracture of the Neck is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Myoclonus,"Myoclonus refers to sudden, brief, involuntary muscle jerks that can affect any muscle group, often occurring in neurological conditions."
Foreign Body in the Gastrointestinal Tract,Foreign Body in the Gastrointestinal Tract is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Coronary Atherosclerosis,"Coronary atherosclerosis is the buildup of fatty deposits (plaques) in the coronary arteries that supply blood to the heart muscle, potentially leading to heart attack."
Hypertensive Heart Disease,"Hypertensive heart disease is heart damage caused by prolonged high blood pressure, leading to thickened heart muscle and potential heart failure."
Mumps,"Mumps is a viral infection primarily affecting the salivary glands, causing swelling and pain, particularly in the parotid glands."
Cholesteatoma,Cholesteatoma is an abnormal growth of skin cells in the middle ear that can damage hearing and potentially cause serious complications.
Polycystic Kidney Disease,"Polycystic Kidney Disease is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Juvenile Rheumatoid Arthritis,"Juvenile Rheumatoid Arthritis is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Hypospadias,Hypospadias is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Parotid stones,Parotid stones is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Achalasia,"Achalasia is a rare disorder of the esophagus where the muscle fails to relax properly, making it difficult for food and liquid to pass into the stomach."
Rumination Disorder,Rumination Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bronchitis,"Bronchitis is inflammation of the lining of the bronchial tubes, which carry air to the lungs, causing persistent cough and mucus production."
Balanitis,Balanitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ectopic Pregnancy,"Ectopic pregnancy occurs when a fertilized egg implants outside the uterus, most commonly in a fallopian tube, requiring immediate medical attention."
Atelectasis,Atelectasis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Anorexia Nervosa,"Anorexia nervosa is a serious eating disorder characterized by restriction of food intake, intense fear of gaining weight, and distorted body image."
Hypergammaglobulinemia,Hypergammaglobulinemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pregnancy-Induced Hypertension,"Pregnancy-Induced Hypertension is a pregnancy-related condition that can affect maternal or fetal health during gestation, labor, or the postpartum period."
Chorioretinitis,Chorioretinitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Open-Angle Glaucoma,"Open-angle glaucoma is the most common type of glaucoma, characterized by gradual increase in eye pressure that can damage the optic nerve and cause vision loss."
Cranial Nerve Palsy,Cranial Nerve Palsy is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Corneal Abrasion,Corneal Abrasion is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hiatal Hernia,Hiatal Hernia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Type 2 Diabetes,Type 2 diabetes is a chronic condition where the body becomes resistant to insulin or doesn't produce enough insulin to maintain normal glucose levels.
Uterine Fibroids,Uterine Fibroids is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Angle-Closure Glaucoma,"Angle-closure glaucoma is a medical emergency where the drainage angle of the eye becomes blocked, causing rapid increase in eye pressure."
Chronic Headache,Chronic Headache is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acute Kidney Injury,Acute kidney injury is sudden damage to the kidneys causing them to stop filtering waste from the blood effectively.
Scarlet Fever,Scarlet Fever is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Thoracic Aortic Aneurysm,Thoracic Aortic Aneurysm is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Scleroderma,Scleroderma is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bone Spur of the Calcaneus,"Bone Spur of the Calcaneus is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Ethylene glycol poisoning-2,"Ethylene glycol poisoning-2 is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Pica,Pica is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Induced Abortion,Induced Abortion is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Tension Headache,Tension Headache is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Urethral Valves,Urethral Valves is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hashimoto Thyroiditis,"Hashimoto thyroiditis is an autoimmune condition where the immune system attacks the thyroid gland, leading to hypothyroidism."
Parkinson Disease,"Parkinson disease is a progressive neurological disorder affecting movement, characterized by tremors, stiffness, slowness of movement, and balance problems."
Cryptorchidism,Cryptorchidism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Mucocele,Mucocele is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Empyema,Empyema is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Abdominal Hernia,Abdominal Hernia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hemarthrosis,Hemarthrosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pregnancy-Related Back Pain,"Pregnancy-Related Back Pain is a pregnancy-related condition that can affect maternal or fetal health during gestation, labor, or the postpartum period."
Muscle Spasm,Muscle Spasm is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Diverticulosis,"Diverticulosis is a condition where small pouches (diverticula) form in the colon wall, which can become inflamed or infected (diverticulitis)."
Dry Skin,"Dry Skin is a dermatological condition affecting skin structure, function, or appearance, potentially involving inflammation, infection, or abnormal cell growth."
Alcohol Use Disorder,Alcohol Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Muscular Dystrophy,Muscular Dystrophy is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vaginal Yeast Infection,"Vaginal Yeast Infection is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Osteoporosis,"Osteoporosis is a condition where bones become weak and brittle due to loss of bone density, making them more susceptible to fractures."
Syndrome of Inappropriate Secretion of ADH (SIADH),Syndrome of Inappropriate Secretion of ADH (SIADH) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Myasthenia Gravis,Myasthenia Gravis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Torticollis,"Torticollis is a condition where neck muscles contract involuntarily, causing the head to twist or turn to one side in an abnormal position."
Complex Regional Pain Syndrome (CRPS),Complex Regional Pain Syndrome (CRPS) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gastroenteritis (Stomach Flu),Gastroenteritis (Stomach Flu) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Scleritis,Scleritis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Cirrhosis,"Cirrhosis is severe scarring of the liver caused by prolonged liver damage, leading to impaired liver function and potentially life-threatening complications."
Lung Contusion,"Lung Contusion is a respiratory disorder affecting the lungs, airways, or breathing mechanism, potentially impairing gas exchange and oxygenation."
Corneal Disorder,Corneal Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Mucoepidermoid carcinoma,Mucoepidermoid carcinoma is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Carpal Tunnel Syndrome,"Carpal tunnel syndrome is compression of the median nerve as it passes through the carpal tunnel in the wrist, causing numbness, tingling, and pain in the hand."
Macular Degeneration,"Macular degeneration is an eye disease that affects the macula (central part of the retina), causing blurred or reduced central vision."
Atrophic vaginitis,Atrophic vaginitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Osteochondrosis,"Osteochondrosis is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) is a neurological disorder affecting the central or peripheral nervous system, potentially impairing motor, sensory, or cognitive function."
Parasitic Infections,"Parasitic Infections is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Normal Pressure Hydrocephalus,Normal Pressure Hydrocephalus is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Kidney Stone,"Kidney stones are hard deposits of minerals and salts that form inside the kidneys, causing severe pain when passing through the urinary tract."
Pituitary Disorder,Pituitary Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pinguecula,Pinguecula is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Influenza (Flu),Influenza (Flu) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Cat Scratch Disease,Cat Scratch Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hyperemesis Gravidarum,Hyperemesis Gravidarum is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Diabetic retinopathy,"Diabetic retinopathy is a diabetes complication affecting the blood vessels in the retina, potentially leading to vision loss or blindness."
Aplastic Anemia,"Aplastic anemia is a rare blood disorder where the bone marrow fails to produce sufficient blood cells, leading to fatigue and increased infection risk."
Wilson Disease,Wilson Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Drug Abuse (Barbiturates),Drug Abuse (Barbiturates) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Primary Insomnia,Primary Insomnia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Mastoiditis,Mastoiditis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acinic cell carcinoma,Acinic cell carcinoma is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Wharton's duct stones,Wharton's duct stones is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pharyngitis,Pharyngitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pericarditis,Pericarditis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Antihypertensives Poisoning,"Antihypertensives Poisoning is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Oral Leukoplakia,Oral Leukoplakia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Seborrheic Dermatitis,"Seborrheic Dermatitis is a dermatological condition affecting skin structure, function, or appearance, potentially involving inflammation, infection, or abnormal cell growth."
Hydrocephalus,Hydrocephalus is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Marijuana Abuse,Marijuana Abuse is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chronic Otitis Media,Chronic Otitis Media is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pterygium,Pterygium is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hepatic Encephalopathy,Hepatic Encephalopathy is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Tietze Syndrome,Tietze Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Nose Disorder,Nose Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Exfoliation Glaucoma,"Exfoliation Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Protein Deficiency,Protein Deficiency is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Thrombocytopenia,"Thrombocytopenia is a condition with abnormally low platelet count, increasing the risk of bleeding and bruising."
Alopecia,Alopecia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Polymyalgia Rheumatica,Polymyalgia Rheumatica is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bone Cancer,"Bone Cancer is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Preeclampsia,"Preeclampsia is a serious pregnancy complication characterized by high blood pressure and protein in urine, potentially dangerous to mother and baby."
Hypertrophic Obstructive Cardiomyopathy (HOCM),Hypertrophic Obstructive Cardiomyopathy (HOCM) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Nonalcoholic Liver Disease (NASH),"Nonalcoholic Liver Disease (NASH) is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Amyloidosis,Amyloidosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ethylene glycol poisoning-3,"Ethylene glycol poisoning-3 is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Fracture of the Rib,"Fracture of the Rib is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Breast Cancer,Breast Cancer is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Neuromyelitis Optica,"Neuromyelitis Optica is a neurological disorder affecting the central or peripheral nervous system, potentially impairing motor, sensory, or cognitive function."
Eye alignment disorder,"Eye alignment disorder is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Meniere Disease,Meniere Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pituitary Adenoma,Pituitary Adenoma is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ischemia of the Bowel,Ischemia of the Bowel is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hydrocele of the Testicle,Hydrocele of the Testicle is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Endometrial Cancer,Endometrial Cancer is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Endometriosis,Endometriosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hydronephrosis,Hydronephrosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bell Palsy,"Bell palsy is sudden weakness or paralysis of facial muscles on one side of the face, caused by inflammation of the facial nerve."
Abscess of Nose,Abscess of Nose is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bladder Disorder,"Bladder Disorder is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Emphysema,"Emphysema is a lung condition where the air sacs (alveoli) are damaged, making it progressively more difficult to breathe due to reduced oxygen exchange."
Extrapyramidal Effect of Drugs,Extrapyramidal Effect of Drugs is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vasculitis,Vasculitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Female Infertility of Unknown Cause,Female Infertility of Unknown Cause is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Syringomyelia,Syringomyelia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Von Hippel-Lindau Disease,Von Hippel-Lindau Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hemorrhoids,Hemorrhoids is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bursitis,Bursitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Cannabis Use Disorder,Cannabis Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Heart Block,"Heart block is a condition where electrical signals controlling the heartbeat are partially or completely blocked, causing irregular heart rhythms."
Hemolytic Anemia,"Hemolytic anemia occurs when red blood cells are destroyed faster than they can be replaced, leading to fatigue and other complications."
Benzodiazepine Use Disorder,Benzodiazepine Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Mitral Valve Disease,Mitral Valve Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Varicose Veins,Varicose Veins is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Recurrent salivary stones,Recurrent salivary stones is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ocular Hypertension,Ocular Hypertension is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Colonic Polyp,Colonic Polyp is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Indigestion,Indigestion is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acute Glaucoma,"Acute Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Sciatica,"Sciatica is pain that radiates along the path of the sciatic nerve from the lower back through the hips and down each leg, usually affecting only one side."
